provid,permid,ssObjectId,orbit_class,population,sample,csv_file
2000 WW29,285784,21163607432771927,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/285784.csv
2000 WE75,20892,21163607433098565,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/20892.csv
2000 WX101,146231,21163607433752920,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/146231.csv
2000 YU,106827,21163607466192981,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/106827.csv
2000 YX25,208272,21163607466325336,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/208272.csv
2000 YU39,118997,21163607466391893,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/118997.csv
2000 YU56,168923,21163607466522197,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/168923.csv
2000 YG62,131061,21163607466586695,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/131061.csv
2000 YU113,94129,21163607467373397,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/94129.csv
2001 BX19,247172,21163611375352152,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/247172.csv
2001 BC68,123813,21163611375679555,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/123813.csv
2001 CZ14,165517,21163611392128090,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/165517.csv
2001 FH13,72601,21163611442459464,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/72601.csv
2001 MG19,108603,21163611559901511,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/108603.csv
2001 OY5,46301,21163611593389401,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/46301.csv
2001 OY10,108691,21163611593453657,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/108691.csv
2001 OW42,63482,21163611593650775,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/63482.csv
2001 ON63,252228,21163611593782094,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/252228.csv
2001 OV81,165687,21163611593912662,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/165687.csv
2001 PS29,32533,21163611610298707,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/32533.csv
2001 PZ39,82702,21163611610364250,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/82702.csv
