provid,permid,ssObjectId,orbit_class,population,sample,csv_file
1998 QC2,231698,20892062319653443,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/231698.csv
1998 QP71,44275,20892062320111952,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/44275.csv
1998 QD90,74151,20892062320242756,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/74151.csv
1998 RT1,136950,20892062336430420,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/136950.csv
1998 RC58,12560,20892062336759875,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/12560.csv
1998 SC57,40211,20892062353536835,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/40211.csv
1998 SB139,25199,20892062354520386,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/25199.csv
1998 UG1,217668,20892062386762055,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/217668.csv
1998 UN15,42773,20892062386828622,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/42773.csv
1998 VR47,306442,20892062403802962,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/306442.csv
1998 WO9,22755,20892062420318543,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/22755.csv
1998 XF1,234040,20892062437093702,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/234040.csv
1998 YK10,26357,20892062453936203,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/26357.csv
1999 CR11,382428,20892066379805010,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/382428.csv
1999 CO104,91264,20892066380854351,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/91264.csv
1999 FQ19,433959,20892066430138705,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/433959.csv
1999 JS8,66274,20892066497181779,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/66274.csv
1999 JE21,17090,20892066497311045,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/17090.csv
1999 JN75,16056,20892066497639758,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/16056.csv
1999 JF81,53368,20892066497704262,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/53368.csv
1999 JK108,35929,20892066498295883,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/35929.csv
1999 NY29,121195,20892066564421977,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/121195.csv
1999 RV10,121217,20892066631462998,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/121217.csv
1999 RQ25,40425,20892066631529809,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/40425.csv
1999 RR30,267066,20892066631594066,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/267066.csv
1999 RN117,20558,20892066632578894,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/20558.csv
1999 RL119,91488,20892066632579404,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/91488.csv
1999 RH124,243627,20892066632643656,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/243627.csv
1999 RH133,36115,20892066632708936,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/36115.csv
1999 RQ139,70316,20892066632710481,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/70316.csv
1999 RM160,91507,20892066632904781,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/91507.csv
1999 RL189,159415,20892066633038156,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/159415.csv
1999 RA194,86146,20892066633102401,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/86146.csv
1999 RT223,189468,20892066633298772,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/189468.csv
1999 RU228,38424,20892066633300053,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/38424.csv
1999 SB19,40734,20892066648242498,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/40734.csv
1999 TQ9,21805,20892066664954193,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/21805.csv
1999 TQ12,44723,20892066665017937,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/44723.csv
1999 TU41,70480,20892066665214293,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/70480.csv
1999 TO125,310411,20892066666198351,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/310411.csv
1999 TT185,91747,20892066666591572,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/91747.csv
1999 TN190,91757,20892066666655822,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/91757.csv
1999 TS201,316791,20892066666721619,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/316791.csv
1999 TV268,269790,20892066667116630,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/269790.csv
1999 TD293,47214,20892066667311940,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/47214.csv
1999 VX26,75084,20892066698638936,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/75084.csv
1999 VA51,257665,20892066698834241,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/257665.csv
1999 VN94,91975,20892066699097166,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/91975.csv
1999 VS107,152842,20892066699622227,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/152842.csv
1999 VF132,640201,20892066699817542,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/640201.csv
1999 VZ147,47275,20892066699884378,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/47275.csv
1999 VJ148,285437,20892066699884618,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/285437.csv
1999 VO148,102781,20892066699884623,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/102781.csv
1999 VO162,70881,20892066700014159,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/70881.csv
1999 VW202,92048,20892066700276311,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/92048.csv
1999 WM17,162311,20892066715350861,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/162311.csv
1999 WR18,121650,20892066715351122,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/121650.csv
1999 XD21,92084,20892066732192068,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/92084.csv
1999 XU31,45065,20892066732257621,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/45065.csv
1999 XE52,102944,20892066732388933,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/102944.csv
1999 XX55,80292,20892066732389720,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/80292.csv
1999 XL78,155575,20892066732521548,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/155575.csv
1999 XK86,16125,20892066732586571,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/16125.csv
1999 XT96,92122,20892066732652116,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/92122.csv
1999 XG177,137761,20892066733635399,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/137761.csv
1999 XA198,306532,20892066733766721,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/306532.csv
1999 XJ217,71184,20892066733897546,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/71184.csv
1999 XC218,171604,20892066733897795,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/171604.csv
1999 XT258,251962,20892066734159956,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/251962.csv
1999 YZ6,121761,20892066748839514,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/121761.csv
2000 AW71,192931,21163607063998807,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/192931.csv
2000 AC118,75710,21163607064721475,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/75710.csv
2000 AN164,18886,21163607065048142,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/18886.csv
2000 AV228,25742,21163607065442390,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/25742.csv
2000 AE232,121815,21163607065506373,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/121815.csv
2000 DH24,45604,21163607114003528,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/45604.csv
2000 DL83,121917,21163607114396492,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/121917.csv
2000 EK21,45641,21163607130779979,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/45641.csv
2000 EL94,50655,21163607131239500,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/50655.csv
2000 ES97,30077,21163607131240275,MBO,MBO,HOF+LSM,dp2_all_solar_system_csv/selected_objects/HOF+LSM/MBOs/30077.csv
