provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2013 YD152,652394,MBO,MBO,21164719864164932,745279801063374863,19.92678,2.968205,2.7681236,148.72216667498145,1.7736819650789464,2025051900249,21,60815.06450992622,y,148.72218232273997,1.7736724924346954,5.700989723205566,11607.8,1973.38,False,10325.5,30.3965,13686.4,1971.81,False,1299.59,205.32,21.238125226544092,0.18458020926427626,21.365222272427495,0.003196221020804998,21.059276897570093,0.1564228364229317,23.61548412629257,0.17153361550648585
2013 YD152,652394,MBO,MBO,21164719864164932,745279802407649293,19.926834,2.9682066,2.768191,148.723049310409,1.773516825826318,2025051900259,25,60815.06939779273,y,148.7230075348124,1.7734342643478782,5.037233829498291,8298.85,1727.0,False,8532.15,737.763,9119.1,1707.42,False,852.72,213.353,21.602455263917296,0.22594293352407235,21.572353745327106,0.09388207702495034,21.500120100994778,0.2032884646347445,24.07298391430027,0.27165433085472845
2013 YD152,652394,MBO,MBO,21164719864164932,745279803884568638,19.926895,2.9682086,2.768267,148.72403917294434,1.7733316898898384,2025051900270,26,60815.07487590716,y,148.72403387543343,1.7732735857610793,5.4284796714782715,11128.5,2027.59,False,12804.4,95.2837,12017.1,2040.68,False,84.3388,216.104,21.2839084246584,0.1978189184791671,21.13160188507009,0.008079485068431765,21.200500847397254,0.18437395783198993,26.584931475417243,2.7820166417282164
2013 YD152,652394,MBO,MBO,21164719864164932,745284180448903219,19.932161,2.9685428,2.780862,148.89571543157157,1.7415591389398375,2025052000110,12,60815.997173178526,g,148.8957610603193,1.741582646960017,9.831829071044922,2366.97,231.117,False,2766.21,14.8171,2383.18,232.158,False,11.3916,9.69705,22.964518129618206,0.10601406114664189,22.79528714786257,0.005815705127652783,22.957107917246915,0.10576723462907964,28.758538215564958,0.9242282634383401
2013 YD152,652394,MBO,MBO,21164719864164932,745284180583120941,19.932165,2.968543,2.7808702,148.89582315062214,1.7415383717432678,2025052000111,12,60815.99776202555,g,148.89586330574468,1.7415299207820802,9.144499778747559,2194.51,237.621,False,2578.82,14.201,2168.31,238.21,False,4.10286,13.9529,23.046656084693836,0.11756324826426114,22.871447396928055,0.005978912706972078,23.059696538834793,0.11927871090200926,29.867283261931384,3.6923435639571904
2013 YD152,652394,MBO,MBO,21164719864164932,745284180717338662,19.932173,2.9685433,2.7808807,148.89596324687963,1.7415113625588687,2025052000112,12,60815.99852844935,g,148.89599256043397,1.7415378377781883,11.645697593688965,2489.39,213.774,False,2673.66,7.91564,2502.17,213.452,False,-13.4397,11.9475,22.909767695266098,0.09323656948277535,22.83223458887752,0.00321443155866909,22.904208001967337,0.09262063213442323,nan,nan
2013 YD152,652394,MBO,MBO,21164719864164932,745284180852080725,19.932177,2.9685435,2.7808871,148.8960503080137,1.741494578047687,2025052000113,13,60815.999004494544,g,148.8960485419589,1.7414933679459597,13.210725784301758,2053.48,155.686,False,2088.93,13.8561,2030.24,155.609,False,-24.8454,14.1914,23.118773816898397,0.08231584111755624,23.10019031796711,0.007201806670650537,23.131131555125748,0.08321691961268453,nan,nan
2013 YD152,652394,MBO,MBO,21164719864164932,745284180987871276,19.93218,2.9685435,2.7808945,148.89614779791452,1.7414757830005547,2025052000114,16,60815.99953748862,g,148.8961301180641,1.7414655838797422,15.963351249694824,2364.44,146.481,False,2512.45,0.319366,2327.57,145.675,False,-32.2385,8.30511,22.96567928230612,0.06726317098285793,22.899756451934977,0.0001380115999285648,22.982743090749686,0.06795268039042507,nan,nan
2013 YD152,652394,MBO,MBO,21164719864164932,745284181120516138,19.932188,2.968544,2.780905,148.89628772909194,1.741448805771137,2025052000115,13,60816.000302056374,g,148.89626718877972,1.7414451465174923,12.756102561950684,1942.09,149.177,False,2186.38,5.19987,1876.72,148.584,False,-35.8249,8.47216,23.17932663901246,0.08339823323754694,23.050685943253406,0.002582207823246341,23.216501311322475,0.08596009546897544,nan,nan
2013 YD152,652394,MBO,MBO,21164719864164932,745284181255782414,19.932192,2.968544,2.7809124,148.8963852282454,1.7414300090285977,2025052000116,15,60816.00083512574,g,148.89640352396253,1.741423591007953,13.969038963317871,2046.27,144.379,False,2200.92,2.02851,1974.15,142.511,False,-40.0161,8.29455,23.12259264667826,0.0766064613295915,23.043489396252333,0.001000684681230533,23.161549616122116,0.07837770791770513,nan,nan
